item_id,food_type,cooked_at,storage_temperature_c,temperature_duration_hours,expiry_type,expiry_date,ingredient_text
G001,Cooked Rice,2025-12-05 08:30,4.1,18,use_by,2025-12-07,"Rice, salt, oil"
G002,Chicken Curry,2025-12-05 12:00,5.2,10,use_by,2025-12-08,"Chicken, spices, yoghurt"
G003,Bread Loaf,2025-12-04 06:00,21.5,24,best_before,2025-12-10,"Wheat flour, yeast, sugar"
G004,Milk Pack,2025-12-06 09:00,3.8,36,use_by,2025-12-11,"Milk"
G005,Snack Mix,2025-11-30 10:00,24.2,120,best_before,2025-12-30,"Peanuts, oil, spices"
G006,Pasta Salad,2025-12-07 14:15,4.5,6,use_by,2025-12-09,"Pasta, mayo, peas, carrots"
G007,Beef Stew,2025-12-03 18:00,3.9,48,use_by,2025-12-06,"Beef, potatoes, broth, onions"
G008,Tomato Soup,2025-12-08 11:30,5.0,12,use_by,2025-12-12,"Tomatoes, cream, basil"
G009,Muffins,2025-12-07 07:00,22.1,48,best_before,2025-12-12,"Flour, sugar, blueberries, eggs"
G010,Green Salad,2025-12-09 10:00,4.8,4,use_by,2025-12-10,"Lettuce, spinach, cucumber"
G011,Cooked Rice,2025-12-05 09:45,3.7,20,use_by,2025-12-07,"Rice, salt, oil"
G012,Chicken Curry,2025-12-06 13:20,6.1,12,use_by,2025-12-09,"Chicken, spices, yoghurt"
G013,Bread Loaf,2025-12-04 05:30,20.8,30,best_before,2025-12-10,"Wheat flour, yeast, sugar"
G014,Milk Pack,2025-12-06 08:15,4.2,40,use_by,2025-12-11,"Milk"
G015,Snack Mix,2025-12-01 11:00,23.5,140,best_before,2025-12-31,"Peanuts, oil, spices"
G016,Pasta Salad,2025-12-07 15:00,5.3,8,use_by,2025-12-09,"Pasta, mayo, peas, carrots"
G017,Beef Stew,2025-12-04 17:30,4.0,50,use_by,2025-12-07,"Beef, potatoes, broth, onions"
G018,Tomato Soup,2025-12-08 12:00,5.5,14,use_by,2025-12-12,"Tomatoes, cream, basil"
G019,Muffins,2025-12-07 08:00,21.9,50,best_before,2025-12-12,"Flour, sugar, blueberries, eggs"
G020,Green Salad,2025-12-09 11:00,5.1,5,use_by,2025-12-10,"Lettuce, spinach, cucumber"
G021,Cooked Rice,2025-12-10 08:00,4.3,16,use_by,2025-12-12,"Rice, salt, oil"
G022,Chicken Curry,2025-12-10 12:30,6.4,11,use_by,2025-12-13,"Chicken, spices, yoghurt"
G023,Bread Loaf,2025-12-09 06:15,22.3,28,best_before,2025-12-15,"Wheat flour, yeast, sugar"
G024,Milk Pack,2025-12-08 09:10,4.9,42,use_by,2025-12-13,"Milk"
G025,Snack Mix,2025-12-02 10:30,24.8,110,best_before,2026-01-02,"Peanuts, oil, spices"
