product_id,product_category,manufacture_date,expiry_date,expiry_type,storage_requirement,ingredient_text,declared_allergens,compliance_status
F001,Dairy,2025-12-01,2025-12-06,use_by,Chilled,"Milk, stabilisers","Milk",Declared
F002,Bakery,2025-11-28,2025-12-05,best_before,Ambient,"Wheat flour, sugar, yeast","Gluten",Declared
F003,Ready-to-Eat,2025-12-04,2025-12-06,use_by,Chilled,"Rice, vegetables, spices","",Missing
F004,Snacks,2025-11-20,2025-12-20,best_before,Ambient,"Peanuts, oil","Peanuts",Declared
F005,Frozen Foods,2025-11-15,2026-02-15,best_before,Frozen,"Paneer, salt","Milk",Declared
F006,Dairy,2025-12-02,2025-12-07,use_by,Chilled,"Yoghurt, honey, fruit","Milk",Declared
F007,Bakery,2025-11-29,2025-12-06,best_before,Ambient,"Rye flour, water, salt","Gluten",Declared
F008,Ready-to-Eat,2025-12-03,2025-12-05,use_by,Chilled,"Chicken, soy sauce, noodles","Soy, Gluten",Declared
F009,Snacks,2025-11-18,2025-12-18,best_before,Ambient,"Cashews, salt, spices","",Missing
F010,Frozen Foods,2025-11-10,2026-02-10,best_before,Frozen,"Fish, breadcrumbs","Fish, Gluten",Declared
F011,Dairy,2025-12-03,2025-12-08,use_by,Chilled,"Cream, sugar, vanilla","Milk",Declared
F012,Bakery,2025-11-30,2025-12-07,best_before,Ambient,"Wheat flour, eggs, butter","Gluten, Eggs, Milk",Declared
F013,Ready-to-Eat,2025-12-05,2025-12-07,use_by,Chilled,"Beef, potatoes, gravy","",Missing
F014,Snacks,2025-11-25,2025-12-25,best_before,Ambient,"Almonds, chocolate","Tree Nuts, Milk",Declared
F015,Frozen Foods,2025-11-12,2026-02-12,best_before,Frozen,"Shrimp, garlic butter","Crustaceans, Milk",Declared
F016,Dairy,2025-12-04,2025-12-09,use_by,Chilled,"Milk, cocoa powder","Milk",Declared
F017,Bakery,2025-12-01,2025-12-08,best_before,Ambient,"Oats, honey, nuts","Tree Nuts",Declared
F018,Ready-to-Eat,2025-12-06,2025-12-08,use_by,Chilled,"Tofu, broccoli, sesame","Soy, Sesame",Declared
F019,Snacks,2025-11-22,2025-12-22,best_before,Ambient,"Corn, palm oil, salt","",Declared
F020,Frozen Foods,2025-11-08,2026-02-08,best_before,Frozen,"Mixed vegetables, salt","",Declared
F021,Dairy,2025-12-05,2025-12-10,use_by,Chilled,"Cheese, cultures, salt","Milk",Declared
F022,Bakery,2025-12-02,2025-12-09,best_before,Ambient,"Wheat flour, raisins, milk","Gluten, Milk",Declared
F023,Ready-to-Eat,2025-12-07,2025-12-09,use_by,Chilled,"Pork, rice, soy beans","Soy",Declared
F024,Snacks,2025-11-26,2025-12-26,best_before,Ambient,"Walnuts, dried cranberries","Tree Nuts",Declared
F025,Frozen Foods,2025-11-14,2026-02-14,best_before,Frozen,"Chicken wings, buffalo sauce","",Missing
F026,Dairy,2025-12-06,2025-12-11,use_by,Chilled,"Butter, salt","Milk",Declared
F027,Bakery,2025-12-03,2025-12-10,best_before,Ambient,"Cornmeal, sugar, eggs","Eggs",Declared
F028,Ready-to-Eat,2025-12-08,2025-12-10,use_by,Chilled,"Lentils, onions, spices","",Declared
F029,Snacks,2025-11-27,2025-12-27,best_before,Ambient,"Pistachios, sea salt","Tree Nuts",Declared
F030,Frozen Foods,2025-11-16,2026-02-16,best_before,Frozen,"Pizza dough, cheese, tomato","Gluten, Milk",Declared
F031,Dairy,2025-12-07,2025-12-12,use_by,Chilled,"Milk, vitamin D","Milk",Declared
F032,Bakery,2025-12-04,2025-12-11,best_before,Ambient,"Sourdough starter, wheat","Gluten",Declared
F033,Ready-to-Eat,2025-12-09,2025-12-11,use_by,Chilled,"Egg salad, mayo","Eggs",Declared
F034,Snacks,2025-11-28,2025-12-28,best_before,Ambient,"Potato, oil, bbq seasoning","",Declared
F035,Frozen Foods,2025-11-18,2026-02-18,best_before,Frozen,"Ice cream, chocolate chips","Milk, Soy",Declared
F036,Dairy,2025-12-08,2025-12-13,use_by,Chilled,"Goat cheese, salt","Milk",Declared
F037,Bakery,2025-12-05,2025-12-12,best_before,Ambient,"Flour, milk, butter","Gluten, Milk",Declared
F038,Ready-to-Eat,2025-12-10,2025-12-12,use_by,Chilled,"Salmon, quinoa, lemon","Fish",Declared
F039,Snacks,2025-11-29,2025-12-29,best_before,Ambient,"Peanuts, caramel","Peanuts, Milk",Declared
F040,Frozen Foods,2025-11-20,2026-02-20,best_before,Frozen,"Potato wedges, oil","",Declared
F041,Dairy,2025-12-09,2025-12-14,use_by,Chilled,"Milk, bacteria cultures","Milk",Declared
F042,Bakery,2025-12-06,2025-12-13,best_before,Ambient,"Wheat, yeast, water","Gluten",Declared
F043,Ready-to-Eat,2025-12-11,2025-12-13,use_by,Chilled,"Hummus, pine nuts","Tree Nuts, Sesame",Declared
F044,Snacks,2025-11-30,2025-12-30,best_before,Ambient,"Sunflower seeds, salt","",Declared
F045,Frozen Foods,2025-11-22,2026-02-22,best_before,Frozen,"Beef patties, spices","",Declared
F046,Dairy,2025-12-10,2025-12-15,use_by,Chilled,"Milk, strawberry puree","Milk",Declared
F047,Bakery,2025-12-07,2025-12-14,best_before,Ambient,"Wheat flour, dark chocolate","Gluten, Soy",Declared
F048,Ready-to-Eat,2025-12-12,2025-12-14,use_by,Chilled,"Pasta, cheese sauce","Gluten, Milk",Declared
F049,Snacks,2025-12-01,2025-12-31,best_before,Ambient,"Brazil nuts, salt","Tree Nuts",Declared
F050,Frozen Foods,2025-11-24,2026-02-24,best_before,Frozen,"Spinach, cream sauce","Milk",Declared
F051,Dairy,2025-12-11,2025-12-16,use_by,Chilled,"Condensed milk, sugar","Milk",Declared
F052,Bakery,2025-12-08,2025-12-15,best_before,Ambient,"Barley, wheat, yeast","Gluten",Declared
F053,Ready-to-Eat,2025-12-13,2025-12-15,use_by,Chilled,"Chicken Caesar salad","Milk, Eggs, Fish, Gluten",Declared
F054,Snacks,2025-12-02,2026-01-02,best_before,Ambient,"Pretzels, salt","Gluten",Declared
F055,Frozen Foods,2025-11-26,2026-02-26,best_before,Frozen,"Peas, carrots, corn","",Declared
F056,Dairy,2025-12-12,2025-12-17,use_by,Chilled,"Probiotic milk","Milk",Declared
F057,Bakery,2025-12-09,2025-12-16,best_before,Ambient,"Rye bread, seeds","Gluten",Declared
F058,Ready-to-Eat,2025-12-14,2025-12-16,use_by,Chilled,"Turkey wrap, tortilla","Gluten",Declared
F059,Snacks,2025-12-03,2026-01-03,best_before,Ambient,"Rice crackers, soy seasoning","Soy",Declared
F060,Frozen Foods,2025-11-28,2026-02-28,best_before,Frozen,"Burrito, beans, cheese","Gluten, Milk",Declared
F061,Dairy,2025-12-13,2025-12-18,use_by,Chilled,"Cottage cheese","Milk",Declared
F062,Bakery,2025-12-10,2025-12-17,best_before,Ambient,"Bagels, sesame seeds","Gluten, Sesame",Declared
F063,Ready-to-Eat,2025-12-15,2025-12-17,use_by,Chilled,"Sushi, tuna, rice","Fish",Declared
F064,Snacks,2025-12-04,2026-01-04,best_before,Ambient,"Popcorn, butter","Milk",Declared
F065,Frozen Foods,2025-11-30,2026-02-28,best_before,Frozen,"Meatballs, soy protein","Soy",Declared
F066,Dairy,2025-12-14,2025-12-19,use_by,Chilled,"Almond milk alternative","Tree Nuts",Declared
