item_id,food_type,cooked_at,storage_temperature_c,temperature_duration_hours,expiry_type,expiry_date,ingredient_text,validation_errors,hours_since_prepared,is_use_by,has_temperature_data,freshness_risk,predicted_risk,freshness_score,is_expired,safety_decision
G001,Cooked Rice,2025-12-05 08:30:00,4.1,18,use_by,2025-12-07,"Rice, salt, oil",,-10268.5,1,1,-142.41805555555555,0.0,100.0,True,UNSAFE
G002,Chicken Curry,2025-12-05 12:00:00,5.2,10,use_by,2025-12-08,"Chicken, spices, yoghurt",,-10272.0,1,1,-142.46666666666667,0.0,100.0,True,UNSAFE
G004,Milk Pack,2025-12-06 09:00:00,3.8,36,use_by,2025-12-11,Milk,,-10293.0,1,1,-142.75833333333335,0.0,100.0,True,UNSAFE
G006,Pasta Salad,2025-12-07 14:15:00,4.5,6,use_by,2025-12-09,"Pasta, mayo, peas, carrots",,-10322.25,1,1,-143.16458333333335,0.0,100.0,True,UNSAFE
G007,Beef Stew,2025-12-03 18:00:00,3.9,48,use_by,2025-12-06,"Beef, potatoes, broth, onions",,-10230.0,1,1,-141.88333333333335,0.0,100.0,True,UNSAFE
G008,Tomato Soup,2025-12-08 11:30:00,5.0,12,use_by,2025-12-12,"Tomatoes, cream, basil",,-10343.5,1,1,-143.45972222222224,0.0,100.0,True,UNSAFE
G010,Green Salad,2025-12-09 10:00:00,4.8,4,use_by,2025-12-10,"Lettuce, spinach, cucumber",,-10366.0,1,1,-143.77222222222224,0.0,100.0,True,UNSAFE
G011,Cooked Rice,2025-12-05 09:45:00,3.7,20,use_by,2025-12-07,"Rice, salt, oil",,-10269.75,1,1,-142.43541666666667,0.0,100.0,True,UNSAFE
G012,Chicken Curry,2025-12-06 13:20:00,6.1,12,use_by,2025-12-09,"Chicken, spices, yoghurt",,-10297.333333333334,1,1,-142.81851851851854,0.0,100.0,True,UNSAFE
G014,Milk Pack,2025-12-06 08:15:00,4.2,40,use_by,2025-12-11,Milk,,-10292.25,1,1,-142.74791666666667,0.0,100.0,True,UNSAFE
G016,Pasta Salad,2025-12-07 15:00:00,5.3,8,use_by,2025-12-09,"Pasta, mayo, peas, carrots",,-10323.0,1,1,-143.175,0.0,100.0,True,UNSAFE
G017,Beef Stew,2025-12-04 17:30:00,4.0,50,use_by,2025-12-07,"Beef, potatoes, broth, onions",,-10253.5,1,1,-142.20972222222224,0.0,100.0,True,UNSAFE
G018,Tomato Soup,2025-12-08 12:00:00,5.5,14,use_by,2025-12-12,"Tomatoes, cream, basil",,-10344.0,1,1,-143.46666666666667,0.0,100.0,True,UNSAFE
G020,Green Salad,2025-12-09 11:00:00,5.1,5,use_by,2025-12-10,"Lettuce, spinach, cucumber",,-10367.0,1,1,-143.78611111111113,0.0,100.0,True,UNSAFE
