item_id,food_type,freshness_score,expiry_date,is_expired,safety_decision,list_item,listing_type,discount_pct
F001,Vegetable Curry,82,2025-02-10,False,SAFE,True,STANDARD,0
F002,Chicken Biryani,64,2025-02-05,False,EAT_SOON,True,URGENT,50
F003,Dairy Dessert,38,2025-01-28,False,UNSAFE,False,REJECTED,0
F004,Paneer Wrap,55,2025-01-20,True,UNSAFE,False,REJECTED,0
F005,Rice & Dal,76,2025-02-01,False,SAFE,True,STANDARD,0
F006,Greek Salad,88,2025-02-15,False,SAFE,True,STANDARD,0
F007,Mutton Gravy,45,2025-02-02,False,EAT_SOON,True,URGENT,40
F008,Yogurt Parfait,32,2025-01-25,True,UNSAFE,False,REJECTED,0
F009,Garlic Naan,72,2025-02-08,False,SAFE,True,STANDARD,0
F010,Fish Curry,51,2025-02-03,False,EAT_SOON,True,URGENT,30
F011,Beef Stew,25,2025-01-15,True,UNSAFE,False,REJECTED,0
F012,Lentil Soup,79,2025-02-12,False,SAFE,True,STANDARD,0
F013,Pasta Alfredo,68,2025-02-01,False,EAT_SOON,True,URGENT,25
F014,Fruit Medley,35,2025-01-27,False,UNSAFE,False,REJECTED,0
F015,Egg Roast,74,2025-02-09,False,SAFE,True,STANDARD,0
F016,Tofu Stir-fry,59,2025-02-04,False,EAT_SOON,True,URGENT,35
F017,Chocolate Cake,90,2025-02-20,False,SAFE,True,STANDARD,0
F018,Club Sandwich,42,2025-02-02,False,EAT_SOON,True,URGENT,50
F019,Shrimp Scampi,15,2025-01-10,True,UNSAFE,False,REJECTED,0
F020,Mashed Potatoes,81,2025-02-11,False,SAFE,True,STANDARD,0
F021,Hummus Dip,62,2025-02-05,False,EAT_SOON,True,URGENT,20
F022,Caprese Skewers,39,2025-01-29,False,UNSAFE,False,REJECTED,0
F023,Chicken Tikka,85,2025-02-14,False,SAFE,True,STANDARD,0
F024,Veggie Burger,48,2025-02-02,False,EAT_SOON,True,URGENT,45
F025,Pork Ramen,22,2025-01-20,True,UNSAFE,False,REJECTED,0
F026,Quinoa Bowl,77,2025-02-13,False,SAFE,True,STANDARD,0
F027,Beef Tacos,65,2025-02-06,False,EAT_SOON,True,URGENT,30
F028,Cheese Platter,33,2025-01-26,False,UNSAFE,False,REJECTED,0
F029,Tomato Soup,83,2025-02-18,False,SAFE,True,STANDARD,0
F030,Grilled Salmon,54,2025-02-03,False,EAT_SOON,True,URGENT,50
F031,Cottage Pie,10,2025-01-05,True,UNSAFE,False,REJECTED,0
F032,Falafel Wrap,71,2025-02-07,False,SAFE,True,STANDARD,0
F033,Burrito Bowl,57,2025-02-04,False,EAT_SOON,True,URGENT,40
F034,Spring Rolls,37,2025-01-28,False,UNSAFE,False,REJECTED,0
F035,Lamb Chops,89,2025-02-25,False,SAFE,True,STANDARD,0
F036,Pad Thai,61,2025-02-05,False,EAT_SOON,True,URGENT,25
F037,Milkshake,28,2025-01-22,True,UNSAFE,False,REJECTED,0
F038,Roasted Chicken,75,2025-02-10,False,SAFE,True,STANDARD,0
F039,Miso Soup,49,2025-02-02,False,EAT_SOON,True,URGENT,35
F040,Sushi Roll,12,2025-01-18,True,UNSAFE,False,REJECTED,0
F041,Spinach Ravioli,78,2025-02-12,False,SAFE,True,STANDARD,0
F042,Turkey Sub,66,2025-02-04,False,EAT_SOON,True,URGENT,40
F043,Fruit Custard,31,2025-01-29,False,UNSAFE,False,REJECTED,0
F044,Pesto Pasta,84,2025-02-16,False,SAFE,True,STANDARD,0
F045,Lobster Roll,52,2025-02-03,False,EAT_SOON,True,URGENT,50
F046,Meatballs,18,2025-01-12,True,UNSAFE,False,REJECTED,0
F047,Garden Salad,73,2025-02-09,False,SAFE,True,STANDARD,0
F048,Chili Con Carne,63,2025-02-06,False,EAT_SOON,True,URGENT,30
F049,Egg Salad,34,2025-01-28,False,UNSAFE,False,REJECTED,0
F050,Butter Chicken,80,2025-02-13,False,SAFE,True,STANDARD,0
F051,Duck Confit,69,2025-02-04,False,EAT_SOON,True,URGENT,20
F052,Guacamole,21,2025-01-21,True,UNSAFE,False,REJECTED,0
F053,Clam Chowder,76,2025-02-11,False,SAFE,True,STANDARD,0
F054,Pork Ribs,44,2025-02-02,False,EAT_SOON,True,URGENT,45
F055,Trifle,36,2025-01-30,False,UNSAFE,False,REJECTED,0
